"All Brands","Alle Marken"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Brands overview","Übersicht"
"Go to Home Page","Zur Startseite"
"Layout Update XML","Layout Aktualisierung XML"
"Meta Description",Meta-Beschreibung
"Meta Title","Meta Titel"
"Product Page",Produktseite
"Search Engine Optimization",Suchmaschinenoptimierung
"Short Description",Kurzbeschreibung
"URL Key",URL-Bezeichner
"Use Default Value","Standardwerte verwenden"
"Valid values range from 0.0 to 1.0.","Gültige Werte liegen zwischen 0,0 und 1,0."
"Your search returned no results.","Ihre Suche ergab keine Treffer."
Back,Zurück
Brand,Marke
Delete,Löschen
Enabled,Aktiviert
Frequency,Häufigkeit
Home,Startseite
ID,Id
No,Keine
Priority,Priorität
Yes,Ja
