Back,Atrás
Delete,Borrar
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
Yes,Sí
Home,"Página de inicio"
"Go to Home Page","Ir a la página de inicio"
"Your search returned no results.","La búsqueda no ha devuelto ningún resultado."
"File can not be saved to the destination folder.","Archivo no puede guardarse en la carpeta de destino."
Enabled,Habilitado
Frequency,Frecuencia
Priority,Prioridad
"Valid values range from 0.0 to 1.0.","Rango de los valores admitidos: desde 0.0 hasta 1.0."
"Use Default Value","Usar valor por defecto"
"URL Key",URL-Bezeichner
"Search Engine Optimization","Optimización de los motores de búsqueda"
"Meta Title","Título Meta"
"Meta Description",Meta-Beschreibung
