Back,Voltar
Delete,Eliminar
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
Yes,Sim
No,Não
Home,Início
"Go to Home Page","Ir para Página Inicial"
"Your search returned no results.","A sua pesquisa não retornou resultados."
"File can not be saved to the destination folder.","O ficheiro não pode ser gravado na pasta de destino."
Enabled,Ativo
Frequency,Frequência
Priority,Prioridade
"Valid values range from 0.0 to 1.0.","Intervalo de valores válidos de 0,0 a 1,0."
"Use Default Value","Usar o Valor Pré-definido"
"URL Key","Chave URL"
"Layout Update XML","Atualização do Layout XML"
"Search Engine Optimization","Otimização para Motores de Pesquisa (SEO)"
"Meta Title","Título Meta"
"Meta Description","Descrição Meta"
